	Tumor_13_EGAF00000525466	Tumor_4_EGAF00000814885	Tumor_8_EGAF00000814887	Tumor_17_EGAF00000525479	Tumor_1_EGAF00000501976	Tumor_14_EGAF00000560172	Tumor_16_EGAF00000525474	Tumor_7_EGAF00000501977	Tumor_12_EGAF00000525525	Tumor_3_EGAF00000560133	Tumor_11_EGAF00000586547	Tumor_10_EGAF00000530893	Tumor_19_EGAF00000530869	Tumor_18_EGAF00000560173	Tumor_22_EGAF00000525477	Tumor_21_EGAF00000560132	Tumor_2_EGAF00000525468	Tumor_8_EGAF00000814888	Tumor_4_EGAF00000525476	Tumor_8_EGAF00000525467	Tumor_15_EGAF00000525475	Tumor_5_EGAF00000525478	Tumor_14_EGAF00000814865	Tumor_23_EGAF00000501978	Tumor_14_EGAF00000814866	Tumor_15_EGAF00000814880	Tumor_9_EGAF00000525188	Tumor_15_EGAF00000814868	Tumor_20_EGAF00000560131	Tumor_6_EGAF00000560171
G000285835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000285915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000286075	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
G000286435	6.0	0	0	5.0	0	1.0	4.0	0	6.0	2.0	4.0	6.0	0	1.0	7.0	2.0	6.0	0	10.0	5.0	3.0	5.0	0	0	0	0	7.0	0	2.0	1.0
G000286635	0	0	0	4.0	8.0	80.0	0	4.0	56.0	54.0	2.0	0	20.0	21.0	0	3.0	0	0	0	1.0	103.0	13.0	20.0	13.0	6.0	373.0	2.0	2545.0	0	0
G000286895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000287355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000287635	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.0	0	0	0	0	395.0	0	810.0	0	0
G000287655	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	38.0	0	24.0	0	0
G000293175	0	0	0	0	1.0	1.0	0	2.0	0	0	0	0	6.0	0	0	0	0	0	0	0	5.0	0	0	0	0	25.0	0	22.0	0	1.0
G000293785	208.0	0	0	263.0	0	159.0	252.0	0	106.0	279.0	91.0	48.0	0	148.0	235.0	110.0	481.0	0	117.0	380.0	333.0	302.0	0	0	0	0	116.0	0	104.0	277.0
G000295095	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000295715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296385	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	9.0	0	10.0	0	0
G000296405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000296465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	16.0	0	43.0	0	0
G000296485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	6.0	0	0
G000296835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	7.0	0	9.0	0	0
G000297025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297215	4.0	1.0	1.0	4.0	0	0	2.0	0	1.0	1.0	0	1.0	0	1.0	4.0	1.0	3.0	1.0	4.0	2.0	0	3.0	2.0	0	0	1.0	3.0	2.0	0	0
G000297255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297495	0	0	0	0	0	0	0	4.0	1.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	3.0	0	0	0	0	0
G000297775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298115	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0
G000298195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000299455	3962.0	101.0	91.0	3083.0	0	808.0	2494.0	0	3431.0	796.0	1503.0	2516.0	0	947.0	3591.0	883.0	2389.0	85.0	5911.0	2774.0	1816.0	3415.0	109.0	0	115.0	115.0	3210.0	122.0	1241.0	899.0
G000299575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000299935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300455	19.0	0	1.0	15.0	0	4.0	13.0	0	14.0	4.0	7.0	11.0	0	4.0	16.0	4.0	11.0	0	29.0	12.0	9.0	18.0	1.0	0	1.0	1.0	15.0	1.0	5.0	4.0
G000300815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300855	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000301035	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000301055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
G000302695	3.0	0	0	4.0	0	1.0	3.0	0	3.0	1.0	1.0	2.0	0	0	4.0	1.0	3.0	0	6.0	3.0	2.0	4.0	0	0	0	0	4.0	0	1.0	1.0
G000304215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	2.0	0	0
G000304335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000304395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000306785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0
G000307855	6.0	0	0	5.0	0	1.0	5.0	2.0	8.0	1.0	1.0	10.0	0	3.0	10.0	10.0	2.0	0	4.0	1.0	3.0	4.0	1.0	0	1.0	1.0	22.0	2.0	2.0	2.0
G000307875	18.0	0	1.0	13.0	1.0	2.0	15.0	6.0	29.0	2.0	7.0	31.0	0	11.0	26.0	39.0	7.0	0	12.0	5.0	16.0	14.0	4.0	1.0	3.0	3.0	74.0	4.0	6.0	5.0
G000307915	6.0	0	0	6.0	0	2.0	4.0	0	6.0	2.0	2.0	6.0	0	3.0	8.0	3.0	5.0	0	12.0	4.0	4.0	4.0	0	0	0	0	8.0	0	4.0	1.0
G000308055	0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	2.0	1.0	0	0	0	0	0	0	8.0	0	0	0	1.0	14.0	0	9.0	0	0
G000308195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308295	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
G000308395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308615	30386.0	0	0	30376.0	0	23314.0	23449.0	0	21632.0	23891.0	15870.0	12708.0	0	37074.0	38124.0	21646.0	37242.0	0	22081.0	40583.0	24588.0	34442.0	0	0	0	0	24652.0	0	25969.0	33969.0
G000308635	47513.0	1.0	1.0	47102.0	0	38287.0	36304.0	0	33888.0	39304.0	23752.0	22160.0	0	61211.0	58831.0	36716.0	56011.0	0	34027.0	61905.0	36669.0	52926.0	1.0	0	1.0	1.0	40715.0	1.0	42891.0	55997.0
G000308655	30048.0	0	0	30135.0	0	23077.0	23099.0	0	21505.0	23443.0	15973.0	12588.0	0	36765.0	37685.0	21499.0	37051.0	0	21811.0	40266.0	24648.0	34166.0	0	0	0	0	24352.0	0	25727.0	33448.0
G000308675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308755	570.0	0	0	729.0	0	313.0	514.0	0	348.0	533.0	413.0	121.0	0	341.0	720.0	304.0	1184.0	0	284.0	1176.0	1101.0	840.0	0	0	0	0	373.0	0	208.0	532.0
G000308855	73954.0	0	0	74142.0	0	56292.0	57111.0	0	52897.0	57069.0	39546.0	30370.0	0	89374.0	92851.0	53263.0	91155.0	0	53988.0	98769.0	60196.0	83909.0	0	0	0	0	59398.0	0	62365.0	81100.0
G000309465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309485	1.0	4.0	8.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	3.0	2.0	0	0	0	5.0	0	2.0	8.0	0	6.0	0	0
G000309565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000309585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000309605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000309705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000309765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2.0	0	0
G000309885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000310145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000310185	97741.0	162260.0	145552.0	80572.0	0	39012.0	61781.0	0	49039.0	40201.0	23612.0	36325.0	0	47014.0	92901.0	44689.0	65393.0	149601.0	151304.0	75717.0	49602.0	89305.0	192181.0	0	185853.0	186545.0	45886.0	183519.0	58281.0	44662.0
G000311925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	52.0	0	137.0	0	0
G000312005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
G000312205	2.0	0	0	1.0	0	1.0	1.0	0	1.0	0	1.0	1.0	0	0	2.0	0	1.0	0	3.0	1.0	1.0	1.0	0	0	0	0	2.0	0	1.0	1.0
G000312345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312425	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	27.0	0	53.0	0	0
G000312505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000313345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
G000314675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	37.0	0	91.0	0	0
G000315505	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	12.0	0	0
G000315525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	2.0	2.0	0	0	0	0	1.0	0
G000315795	127.0	0	0	162.0	0	98.0	141.0	0	67.0	174.0	62.0	29.0	0	87.0	140.0	72.0	297.0	0	69.0	234.0	194.0	187.0	0	0	0	0	75.0	0	61.0	180.0
G000317125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317855	0	0	0	0	0	3.0	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	3.0	0	6.0	0	0
G000317935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000318015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000318095	0	0	0	0	0	3.0	2.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	32.0	0	0	2.0	1.0	153.0	0	268.0	0	0
G000318135	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0	0	17.0	0	0
G000318255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	3.0	0	0	0	0	31.0	0	16.0	0	0
G000318295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	116.0	0	47.0	0	0
G000318335	0	0	0	0	1.0	2.0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	2.0	0	0	8.0	0	7.0	0	0
G000320365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000320465	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
G000320945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000321025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000323285	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000323565	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	0
G000323585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000323645	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000323725	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
G000323785	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000323825	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0
G000324005	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	1.0	1.0	1.0	0	0	0	0	0	1.0	0	0	0
G000324145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0
G000324265	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000324305	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0
G000324445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000324485	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000324505	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0
G000324625	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000324685	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	1.0	0	0	0
G000324725	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	1.0	0	0	0
G000324905	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0
G000324985	1.0	0	0	1.0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	0	1.0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0
G000325085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000325145	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000325165	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
G000325245	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0
G000325265	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000325285	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000328305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000328705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000330885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331005	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0
G000331105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332995	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0
G000333235	96711.0	161145.0	144826.0	79556.0	0	38697.0	61050.0	0	48674.0	39308.0	23352.0	36080.0	0	46430.0	92106.0	44090.0	64220.0	148707.0	150534.0	74602.0	48791.0	88127.0	190780.0	0	184598.0	185020.0	45518.0	182323.0	57579.0	44008.0
G000333355	1.0	0	0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0	1.0	0	1.0	0	2.0	1.0	0	2.0	0	0	0	0	1.0	0	1.0	1.0
G000333395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000333435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000334155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000334455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000335475	80761.0	138813.0	124460.0	66652.0	0	34105.0	51269.0	0	43529.0	35160.0	21221.0	31853.0	0	41047.0	76659.0	38800.0	54835.0	127850.0	123758.0	63132.0	42220.0	74041.0	164563.0	0	159047.0	159662.0	40543.0	157175.0	50520.0	39013.0
G000335715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000335815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000336255	1.0	0	0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0	1.0	1.0	1.0	0	2.0	1.0	1.0	1.0	0	0	0	0	1.0	0	1.0	0
G000336555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000337735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000337895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000338055	96568.0	161010.0	144894.0	79592.0	0	38744.0	61030.0	0	48652.0	39310.0	23318.0	36057.0	0	46411.0	92163.0	44118.0	64196.0	148743.0	150608.0	74579.0	48778.0	88018.0	190769.0	2.0	184665.0	184992.0	45523.0	182338.0	57616.0	44047.0
G000340375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	5.0	0	0
G000340565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000340795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
